state,districts,crop,year,area,production,yield
Andhra Pradesh,Guntur,Cotton(lint),2014,206374.0,1075856.0,5.21
Andhra Pradesh,Guntur,Cotton(lint),2015,198220.0,768744.0,3.88
Andhra Pradesh,Guntur,Cotton(lint),2016,141856.0,654201.0,4.61
Andhra Pradesh,Guntur,Cotton(lint),2017,183735.0,802213.0,4.37
Andhra Pradesh,Guntur,Cotton(lint),2018,176679.0,743399.0,4.21
Andhra Pradesh,Guntur,Cotton(lint),2019,182408.0,167541.0,0.92
Andhra Pradesh,Guntur,Cotton(lint),2020,162789.0,458324.0,2.82
Andhra Pradesh,Guntur,Cotton(lint),2021,109585.0,383294.0,3.5
Andhra Pradesh,Guntur,Cotton(lint),2022,27843.0,90425.0,3.25
Andhra Pradesh,Kadapa,Cotton(lint),2012,29000.0,59000.0,2.03
Andhra Pradesh,Kadapa,Cotton(lint),2013,34119.0,50175.0,1.47
Andhra Pradesh,Kadapa,Cotton(lint),2014,34346.0,57550.0,1.68
Andhra Pradesh,Kadapa,Cotton(lint),2015,32753.0,46665.0,1.42
Andhra Pradesh,Kadapa,Cotton(lint),2016,18840.0,17430.0,0.93
Andhra Pradesh,Kadapa,Cotton(lint),2017,24449.0,17720.0,0.72
Andhra Pradesh,Kadapa,Cotton(lint),2018,10940.0,22268.0,2.04
Andhra Pradesh,Kadapa,Cotton(lint),2019,13410.0,9576.0,0.71
Andhra Pradesh,Kadapa,Cotton(lint),2020,15227.0,15625.0,1.03
Andhra Pradesh,Kadapa,Cotton(lint),2021,22496.0,41421.0,1.84
Andhra Pradesh,Kadapa,Cotton(lint),2022,46263.0,34651.0,0.75
Andhra Pradesh,Kakinada,Cotton(lint),2022,2064.0,7502.0,3.63
Andhra Pradesh,Krishna,Cotton(lint),2012,65000.0,209000.0,3.22
Andhra Pradesh,Krishna,Cotton(lint),2013,59304.0,224658.0,3.79
Andhra Pradesh,Krishna,Cotton(lint),2014,55571.0,261650.0,4.71
Andhra Pradesh,Krishna,Cotton(lint),2015,52784.0,200829.0,3.8
Andhra Pradesh,Krishna,Cotton(lint),2016,37312.0,159453.0,4.27
Andhra Pradesh,Krishna,Cotton(lint),2017,48357.0,195830.0,4.05
Andhra Pradesh,Krishna,Cotton(lint),2018,47109.0,174431.0,3.7
Andhra Pradesh,Krishna,Cotton(lint),2019,48423.0,37671.0,0.78
Andhra Pradesh,Krishna,Cotton(lint),2020,47851.0,111337.0,2.33
Andhra Pradesh,Krishna,Cotton(lint),2021,36172.0,137397.0,3.8
Andhra Pradesh,Krishna,Cotton(lint),2022,320.0,900.0,2.81
Andhra Pradesh,Kurnool,Cotton(lint),2012,155000.0,176000.0,1.14
Andhra Pradesh,Kurnool,Cotton(lint),2013,203835.0,679850.0,3.34
Andhra Pradesh,Kurnool,Cotton(lint),2014,306058.0,809620.0,2.65
Andhra Pradesh,Kurnool,Cotton(lint),2015,200123.0,366412.0,1.83
Andhra Pradesh,Kurnool,Cotton(lint),2016,176195.0,531777.0,3.02
Andhra Pradesh,Kurnool,Cotton(lint),2017,259225.0,733779.0,2.83
Andhra Pradesh,Kurnool,Cotton(lint),2018,259498.0,304183.0,1.17
Andhra Pradesh,Kurnool,Cotton(lint),2019,274620.0,153618.0,0.56
Andhra Pradesh,Kurnool,Cotton(lint),2020,275798.0,862950.0,3.13
Andhra Pradesh,Kurnool,Cotton(lint),2021,266365.0,508867.0,1.91
Andhra Pradesh,Kurnool,Cotton(lint),2022,272560.0,615123.0,2.26
Andhra Pradesh,Nandyal,Cotton(lint),2022,33223.0,56952.0,1.71
Andhra Pradesh,Ntr,Cotton(lint),2022,39208.0,131034.0,3.34
Andhra Pradesh,Palnadu,Cotton(lint),2022,104942.0,317708.0,3.03
Andhra Pradesh,Parvathipuram manyam,Cotton(lint),2022,8845.0,27229.0,3.08
Andhra Pradesh,Prakasam,Cotton(lint),2012,67000.0,208000.0,3.1
Andhra Pradesh,Prakasam,Cotton(lint),2013,82988.0,276301.0,3.33
Andhra Pradesh,Prakasam,Cotton(lint),2014,71520.0,252407.0,3.53
Andhra Pradesh,Prakasam,Cotton(lint),2015,58025.0,163447.0,2.82
Andhra Pradesh,Prakasam,Cotton(lint),2016,14105.0,43441.0,3.08
Andhra Pradesh,Prakasam,Cotton(lint),2017,35076.0,84281.0,2.4
Andhra Pradesh,Prakasam,Cotton(lint),2018,38467.0,77234.0,2.01
Andhra Pradesh,Prakasam,Cotton(lint),2019,45376.0,22296.0,0.49
Andhra Pradesh,Prakasam,Cotton(lint),2020,32175.0,44541.0,1.38
Andhra Pradesh,Prakasam,Cotton(lint),2021,32341.0,62180.0,1.92
Andhra Pradesh,Prakasam,Cotton(lint),2022,46588.0,79038.0,1.7
Andhra Pradesh,Spsr nellore,Cotton(lint),2012,7000.0,19000.0,2.71
Andhra Pradesh,Spsr nellore,Cotton(lint),2013,5220.0,13081.0,2.51
Andhra Pradesh,Spsr nellore,Cotton(lint),2014,6615.0,20463.0,3.09
Andhra Pradesh,Spsr nellore,Cotton(lint),2015,4617.0,10969.0,2.38
Andhra Pradesh,Spsr nellore,Cotton(lint),2016,2124.0,5169.0,2.43
Andhra Pradesh,Spsr nellore,Cotton(lint),2017,3863.0,7591.0,1.97
Andhra Pradesh,Spsr nellore,Cotton(lint),2018,791.0,2097.0,2.65
Andhra Pradesh,Spsr nellore,Cotton(lint),2019,1012.0,435.0,0.43
Andhra Pradesh,Spsr nellore,Cotton(lint),2020,2748.0,7539.0,2.74
Andhra Pradesh,Spsr nellore,Cotton(lint),2021,1936.0,5741.0,2.97
Andhra Pradesh,Spsr nellore,Cotton(lint),2022,5207.0,9765.0,1.88
Andhra Pradesh,Sri sathya sai,Cotton(lint),2022,5978.0,3397.0,0.57
Andhra Pradesh,Srikakulam,Cotton(lint),2012,10000.0,34000.0,3.4
Andhra Pradesh,Srikakulam,Cotton(lint),2013,9846.0,28843.0,2.93
Andhra Pradesh,Srikakulam,Cotton(lint),2014,9563.0,42122.0,4.4
Andhra Pradesh,Srikakulam,Cotton(lint),2015,8883.0,28105.0,3.16
Andhra Pradesh,Srikakulam,Cotton(lint),2016,7155.0,24143.0,3.37
Andhra Pradesh,Srikakulam,Cotton(lint),2017,7478.0,27390.0,3.66
Andhra Pradesh,Srikakulam,Cotton(lint),2018,5488.0,16246.0,2.96
Andhra Pradesh,Srikakulam,Cotton(lint),2019,5712.0,3016.0,0.53
Andhra Pradesh,Srikakulam,Cotton(lint),2020,3723.0,13491.0,3.62
Andhra Pradesh,Srikakulam,Cotton(lint),2021,3457.0,9619.0,2.78
Andhra Pradesh,Srikakulam,Cotton(lint),2022,1381.0,3454.0,2.5
Andhra Pradesh,Tirupati,Cotton(lint),2022,112.0,204.0,1.82
Andhra Pradesh,Visakhapatanam,Cotton(lint),2012,3000.0,10000.0,3.33
Andhra Pradesh,Visakhapatanam,Cotton(lint),2013,2798.0,8196.0,2.93
Andhra Pradesh,Visakhapatanam,Cotton(lint),2014,2840.0,12510.0,4.4
Andhra Pradesh,Visakhapatanam,Cotton(lint),2015,2123.0,3609.0,1.7
Andhra Pradesh,Visakhapatanam,Cotton(lint),2016,1652.0,1950.0,1.18
Andhra Pradesh,Visakhapatanam,Cotton(lint),2017,1474.0,2000.0,1.36
Andhra Pradesh,Visakhapatanam,Cotton(lint),2018,1092.0,1632.0,1.49
Andhra Pradesh,Visakhapatanam,Cotton(lint),2019,976.0,396.0,0.41
Andhra Pradesh,Visakhapatanam,Cotton(lint),2020,810.0,660.0,0.81
Andhra Pradesh,Visakhapatanam,Cotton(lint),2021,274.0,315.0,1.15
Andhra Pradesh,Vizianagaram,Cotton(lint),2012,15000.0,29000.0,1.93
Andhra Pradesh,Vizianagaram,Cotton(lint),2013,15303.0,26735.0,1.75
Andhra Pradesh,Vizianagaram,Cotton(lint),2014,15698.0,37286.0,2.38
Andhra Pradesh,Vizianagaram,Cotton(lint),2015,15597.0,33141.0,2.12
Andhra Pradesh,Vizianagaram,Cotton(lint),2016,14632.0,31148.0,2.13
Andhra Pradesh,Vizianagaram,Cotton(lint),2017,13630.0,33550.0,2.46
Andhra Pradesh,Vizianagaram,Cotton(lint),2018,11485.0,26016.0,2.27
Andhra Pradesh,Vizianagaram,Cotton(lint),2019,12257.0,5430.0,0.44
Andhra Pradesh,Vizianagaram,Cotton(lint),2020,10070.0,21451.0,2.13
Andhra Pradesh,Vizianagaram,Cotton(lint),2021,9228.0,19279.0,2.09
Andhra Pradesh,Vizianagaram,Cotton(lint),2022,2039.0,5892.0,2.89
Andhra Pradesh,West godavari,Cotton(lint),2012,6000.0,22000.0,3.67
Andhra Pradesh,West godavari,Cotton(lint),2013,5240.0,13038.0,2.49
Andhra Pradesh,West godavari,Cotton(lint),2014,9795.0,13807.0,1.41
Andhra Pradesh,West godavari,Cotton(lint),2015,8392.0,27715.0,3.3
Andhra Pradesh,West godavari,Cotton(lint),2016,4615.0,14782.0,3.2
Andhra Pradesh,West godavari,Cotton(lint),2017,4525.0,13985.0,3.09
Andhra Pradesh,West godavari,Cotton(lint),2018,5235.0,16989.0,3.25
Andhra Pradesh,West godavari,Cotton(lint),2019,4856.0,2285.0,0.47
Andhra Pradesh,West godavari,Cotton(lint),2020,4770.0,7792.0,1.63
Andhra Pradesh,West godavari,Cotton(lint),2021,2929.0,8184.0,2.79
Andhra Pradesh,West godavari,Cotton(lint),2022,703934.0,1546694.0,2.2
Andhra Pradesh,Alluri sitharama raju,Groundnut,2022,2819.0,5260.0,1.87
Andhra Pradesh,Anakapalli,Groundnut,2022,75.0,232.0,3.09
Andhra Pradesh,Anantapur,Groundnut,2012,709000.0,296000.0,0.42
Andhra Pradesh,Anantapur,Groundnut,2013,711145.0,286591.0,0.4
Andhra Pradesh,Anantapur,Groundnut,2014,550794.0,148714.0,0.27
Andhra Pradesh,Anantapur,Groundnut,2015,444657.0,319708.0,0.72
Andhra Pradesh,Anantapur,Groundnut,2016,608162.0,140485.0,0.23
Andhra Pradesh,Anantapur,Groundnut,2017,402435.0,412093.0,1.02
Andhra Pradesh,Anantapur,Groundnut,2018,474392.0,150857.0,0.32
Andhra Pradesh,Anantapur,Groundnut,2019,371029.0,277530.0,0.75
Andhra Pradesh,Anantapur,Groundnut,2020,481154.0,227586.0,0.47
Andhra Pradesh,Anantapur,Groundnut,2021,497162.0,77557.0,0.16
Andhra Pradesh,Anantapur,Groundnut,2022,176634.0,80192.0,0.45
Andhra Pradesh,Annamayya,Groundnut,2022,27507.0,36007.0,1.31
Andhra Pradesh,Bapatla,Groundnut,2022,899.0,3051.0,3.39
Andhra Pradesh,Chittoor,Groundnut,2012,135000.0,87000.0,0.64
Andhra Pradesh,Chittoor,Groundnut,2013,143027.0,142455.0,1.0
Andhra Pradesh,Chittoor,Groundnut,2014,122578.0,72811.0,0.59
Andhra Pradesh,Chittoor,Groundnut,2015,114394.0,130867.0,1.14
Andhra Pradesh,Chittoor,Groundnut,2016,133124.0,71887.0,0.54
Andhra Pradesh,Chittoor,Groundnut,2017,115048.0,214449.0,1.86
Andhra Pradesh,Chittoor,Groundnut,2018,99275.0,89645.0,0.9
Andhra Pradesh,Chittoor,Groundnut,2019,95746.0,165832.0,1.73
Andhra Pradesh,Chittoor,Groundnut,2020,122977.0,127404.0,1.04
Andhra Pradesh,Chittoor,Groundnut,2021,93394.0,107870.0,1.15
Andhra Pradesh,Chittoor,Groundnut,2022,34308.0,53418.0,1.56
Andhra Pradesh,East godavari,Groundnut,2013,61.0,114.0,1.87
Andhra Pradesh,East godavari,Groundnut,2014,27.0,44.0,1.63
Andhra Pradesh,East godavari,Groundnut,2015,57.0,119.0,2.09
Andhra Pradesh,East godavari,Groundnut,2016,45.0,101.0,2.24
Andhra Pradesh,East godavari,Groundnut,2017,7.0,18.0,2.57
Andhra Pradesh,East godavari,Groundnut,2019,9.0,27.0,3.0
Andhra Pradesh,East godavari,Groundnut,2020,12.0,41.0,3.42
Andhra Pradesh,East godavari,Groundnut,2021,11.0,35.0,3.18
Andhra Pradesh,East godavari,Groundnut,2022,280.0,867.0,3.1
Andhra Pradesh,East godavari,Groundnut,2018,181.0,530.0,2.93
Andhra Pradesh,Eluru,Groundnut,2022,774.0,2512.0,3.25
Andhra Pradesh,Guntur,Groundnut,2013,510.0,955.0,1.87
Andhra Pradesh,Guntur,Groundnut,2014,804.0,1298.0,1.61
Andhra Pradesh,Guntur,Groundnut,2015,559.0,1168.0,2.09
Andhra Pradesh,Guntur,Groundnut,2016,698.0,1572.0,2.25
Andhra Pradesh,Guntur,Groundnut,2017,584.0,1465.0,2.51
Andhra Pradesh,Guntur,Groundnut,2018,597.0,1732.0,2.9
Andhra Pradesh,Guntur,Groundnut,2019,390.0,1190.0,3.05
Andhra Pradesh,Guntur,Groundnut,2020,434.0,1568.0,3.61
Andhra Pradesh,Guntur,Groundnut,2021,328.0,1427.0,4.35
Andhra Pradesh,Guntur,Groundnut,2022,16.0,50.0,3.13
Andhra Pradesh,Guntur,Groundnut,2012,7000.0,13000.0,1.86
Andhra Pradesh,Kadapa,Groundnut,2012,44000.0,11000.0,0.25
Andhra Pradesh,Kadapa,Groundnut,2013,42251.0,43307.0,1.02
Andhra Pradesh,Kadapa,Groundnut,2014,15754.0,6963.0,0.44
Andhra Pradesh,Kadapa,Groundnut,2015,28676.0,36619.0,1.28
Andhra Pradesh,Kadapa,Groundnut,2016,52015.0,19558.0,0.38
Andhra Pradesh,Kadapa,Groundnut,2017,25317.0,39495.0,1.56
Andhra Pradesh,Kadapa,Groundnut,2018,8627.0,4443.0,0.52
Andhra Pradesh,Kadapa,Groundnut,2019,8332.0,13156.0,1.58
Andhra Pradesh,Kadapa,Groundnut,2020,29827.0,28932.0,0.97
Andhra Pradesh,Kadapa,Groundnut,2021,23329.0,18990.0,0.81
Andhra Pradesh,Kadapa,Groundnut,2022,3651.0,6203.0,1.7
Andhra Pradesh,Kakinada,Groundnut,2022,5.0,15.0,3.0
Andhra Pradesh,Konaseema,Groundnut,2022,37.0,88.0,2.38
Andhra Pradesh,Krishna,Groundnut,2012,2000.0,5000.0,2.5
Andhra Pradesh,Krishna,Groundnut,2013,2079.0,4002.0,1.92
Andhra Pradesh,Krishna,Groundnut,2014,999.0,2690.0,2.69
Andhra Pradesh,Krishna,Groundnut,2015,1050.0,3583.0,3.41
Andhra Pradesh,Krishna,Groundnut,2016,926.0,4085.0,4.41
Andhra Pradesh,Krishna,Groundnut,2017,1148.0,3123.0,2.72
Andhra Pradesh,Krishna,Groundnut,2018,1029.0,4183.0,4.07
Andhra Pradesh,Krishna,Groundnut,2019,870.0,3611.0,4.15
Andhra Pradesh,Krishna,Groundnut,2020,1079.0,2487.0,2.3
Andhra Pradesh,Krishna,Groundnut,2021,992.0,2622.0,2.64
Andhra Pradesh,Krishna,Groundnut,2022,628.0,1571.0,2.5
Andhra Pradesh,Kurnool,Groundnut,2012,119000.0,88000.0,0.74
Andhra Pradesh,Kurnool,Groundnut,2013,150918.0,136128.0,0.9
Andhra Pradesh,Kurnool,Groundnut,2014,94160.0,67607.0,0.72
Andhra Pradesh,Kurnool,Groundnut,2015,73370.0,66620.0,0.91
Andhra Pradesh,Kurnool,Groundnut,2016,113447.0,99153.0,0.87
Andhra Pradesh,Kurnool,Groundnut,2017,85784.0,121985.0,1.42
Andhra Pradesh,Kurnool,Groundnut,2018,89187.0,42542.0,0.48
Andhra Pradesh,Kurnool,Groundnut,2019,79542.0,125040.0,1.57
Andhra Pradesh,Kurnool,Groundnut,2020,93972.0,95288.0,1.01
Andhra Pradesh,Kurnool,Groundnut,2021,95529.0,67921.0,0.71
Andhra Pradesh,Kurnool,Groundnut,2022,43865.0,44216.0,1.01
Andhra Pradesh,Nandyal,Groundnut,2022,9763.0,7391.0,0.76
Andhra Pradesh,Ntr,Groundnut,2022,30.0,93.0,3.1
Andhra Pradesh,Palnadu,Groundnut,2022,23.0,71.0,3.09
Andhra Pradesh,Parvathipuram manyam,Groundnut,2022,28.0,87.0,3.11
Andhra Pradesh,Prakasam,Groundnut,2012,3000.0,5000.0,1.67
Andhra Pradesh,Prakasam,Groundnut,2013,3484.0,6522.0,1.87
Andhra Pradesh,Prakasam,Groundnut,2014,2376.0,3835.0,1.61
Andhra Pradesh,Prakasam,Groundnut,2015,2949.0,9572.0,3.25
Andhra Pradesh,Prakasam,Groundnut,2016,3771.0,10069.0,2.67
Andhra Pradesh,Prakasam,Groundnut,2017,3106.0,7420.0,2.39
Andhra Pradesh,Prakasam,Groundnut,2018,1105.0,4239.0,3.84
Andhra Pradesh,Prakasam,Groundnut,2019,1605.0,5117.0,3.19
Andhra Pradesh,Prakasam,Groundnut,2020,2421.0,7483.0,3.09
Andhra Pradesh,Prakasam,Groundnut,2021,1693.0,4392.0,2.59
Andhra Pradesh,Prakasam,Groundnut,2022,446.0,989.0,2.22
Andhra Pradesh,Spsr nellore,Groundnut,2012,8000.0,22000.0,2.75
Andhra Pradesh,Spsr nellore,Groundnut,2013,10775.0,31323.0,2.91
Andhra Pradesh,Spsr nellore,Groundnut,2014,4707.0,13297.0,2.82
Andhra Pradesh,Spsr nellore,Groundnut,2015,5352.0,15895.0,2.97
Andhra Pradesh,Spsr nellore,Groundnut,2016,12184.0,31971.0,2.62
Andhra Pradesh,Spsr nellore,Groundnut,2017,8208.0,27940.0,3.4
Andhra Pradesh,Spsr nellore,Groundnut,2018,6463.0,26039.0,4.03
Andhra Pradesh,Spsr nellore,Groundnut,2019,5607.0,23050.0,4.11
Andhra Pradesh,Spsr nellore,Groundnut,2020,10636.0,42916.0,4.03
Andhra Pradesh,Spsr nellore,Groundnut,2021,7161.0,28379.0,3.96
Andhra Pradesh,Spsr nellore,Groundnut,2022,6239.0,24089.0,3.86
Andhra Pradesh,Sri sathya sai,Groundnut,2022,183385.0,50431.0,0.28
Andhra Pradesh,Srikakulam,Groundnut,2012,7000.0,8000.0,1.14
Andhra Pradesh,Srikakulam,Groundnut,2013,9945.0,14550.0,1.46
Andhra Pradesh,Srikakulam,Groundnut,2014,3874.0,3882.0,1.0
Andhra Pradesh,Srikakulam,Groundnut,2015,4165.0,4873.0,1.17
Andhra Pradesh,Srikakulam,Groundnut,2016,2791.0,3366.0,1.21
Andhra Pradesh,Srikakulam,Groundnut,2017,1808.0,1985.0,1.1
Andhra Pradesh,Srikakulam,Groundnut,2018,2041.0,2241.0,1.1
Andhra Pradesh,Srikakulam,Groundnut,2019,1097.0,1497.0,1.36
Andhra Pradesh,Srikakulam,Groundnut,2020,341.0,444.0,1.3
Andhra Pradesh,Srikakulam,Groundnut,2021,296.0,316.0,1.07
Andhra Pradesh,Srikakulam,Groundnut,2022,157.0,215.0,1.37
Andhra Pradesh,Tirupati,Groundnut,2022,5170.0,10779.0,2.08
Andhra Pradesh,Visakhapatanam,Groundnut,2012,2000.0,2000.0,1.0
Andhra Pradesh,Visakhapatanam,Groundnut,2013,1778.0,1963.0,1.1
Andhra Pradesh,Visakhapatanam,Groundnut,2014,1383.0,1481.0,1.07
Andhra Pradesh,Visakhapatanam,Groundnut,2015,1472.0,2053.0,1.39
Andhra Pradesh,Visakhapatanam,Groundnut,2016,1737.0,2328.0,1.34
Andhra Pradesh,Visakhapatanam,Groundnut,2017,1655.0,2243.0,1.36
Andhra Pradesh,Visakhapatanam,Groundnut,2018,1726.0,2608.0,1.51
Andhra Pradesh,Visakhapatanam,Groundnut,2019,1551.0,2275.0,1.47
Andhra Pradesh,Visakhapatanam,Groundnut,2020,1385.0,2925.0,2.11
Andhra Pradesh,Visakhapatanam,Groundnut,2021,1738.0,3026.0,1.74
Andhra Pradesh,Visakhapatanam,Groundnut,2022,59.0,183.0,3.1
Andhra Pradesh,Vizianagaram,Groundnut,2012,12000.0,13000.0,1.08
Andhra Pradesh,Vizianagaram,Groundnut,2013,8927.0,10873.0,1.22
Andhra Pradesh,Vizianagaram,Groundnut,2014,6189.0,6344.0,1.03
Andhra Pradesh,Vizianagaram,Groundnut,2015,4428.0,4614.0,1.04
Andhra Pradesh,Vizianagaram,Groundnut,2016,3285.0,3797.0,1.16
Andhra Pradesh,Vizianagaram,Groundnut,2017,2046.0,2371.0,1.16
Andhra Pradesh,Vizianagaram,Groundnut,2018,1825.0,1851.0,1.01
Andhra Pradesh,Vizianagaram,Groundnut,2019,980.0,1259.0,1.28
Andhra Pradesh,Vizianagaram,Groundnut,2020,470.0,569.0,1.21
Andhra Pradesh,Vizianagaram,Groundnut,2021,545.0,615.0,1.13
Andhra Pradesh,Vizianagaram,Groundnut,2022,359.0,477.0,1.33
Andhra Pradesh,West godavari,Groundnut,2012,1000.0,2000.0,2.0
Andhra Pradesh,West godavari,Groundnut,2013,1091.0,2042.0,1.87
Andhra Pradesh,West godavari,Groundnut,2014,343.0,554.0,1.62
Andhra Pradesh,West godavari,Groundnut,2015,1001.0,2092.0,2.09
Andhra Pradesh,West godavari,Groundnut,2016,1048.0,2360.0,2.25
Andhra Pradesh,West godavari,Groundnut,2017,784.0,1967.0,2.51
Andhra Pradesh,West godavari,Groundnut,2018,872.0,2530.0,2.9
Andhra Pradesh,West godavari,Groundnut,2019,1117.0,2322.0,2.08
Andhra Pradesh,West godavari,Groundnut,2020,816.0,2254.0,2.76
Andhra Pradesh,West godavari,Groundnut,2021,889.0,3119.0,3.51
Andhra Pradesh,West godavari,Groundnut,2022,4.0,15.0,3.75
Andhra Pradesh,Alluri sitharama raju,Maize,2022,4257.0,13295.0,3.12
Andhra Pradesh,Anakapalli,Maize,2022,34.0,142.0,4.18
Andhra Pradesh,Anantapur,Maize,2012,22000.0,63000.0,2.86
Andhra Pradesh,Anantapur,Maize,2013,27087.0,53226.0,1.97
Andhra Pradesh,Anantapur,Maize,2014,16839.0,42687.0,2.54
Andhra Pradesh,Anantapur,Maize,2015,13743.0,39662.0,2.89
Andhra Pradesh,Anantapur,Maize,2016,14131.0,29152.0,2.06
Andhra Pradesh,Anantapur,Maize,2017,19044.0,71720.0,3.77
Andhra Pradesh,Anantapur,Maize,2018,14627.0,41497.0,2.84
Andhra Pradesh,Anantapur,Maize,2019,14089.0,39365.0,2.79
Andhra Pradesh,Anantapur,Maize,2020,17529.0,67311.0,3.84
Andhra Pradesh,Anantapur,Maize,2021,23409.0,39093.0,1.67
Andhra Pradesh,Anantapur,Maize,2022,15467.0,60167.0,3.89
Andhra Pradesh,Annamayya,Maize,2022,2208.0,13021.0,5.9
Andhra Pradesh,Bapatla,Maize,2022,1212.0,5955.0,4.91
Andhra Pradesh,Chittoor,Maize,2012,1000.0,4000.0,4.0
Andhra Pradesh,Chittoor,Maize,2013,1905.0,7683.0,4.03
Andhra Pradesh,Chittoor,Maize,2014,2693.0,8820.0,3.28
Andhra Pradesh,Chittoor,Maize,2015,2271.0,8019.0,3.53
Andhra Pradesh,Chittoor,Maize,2016,1144.0,3808.0,3.33
Andhra Pradesh,Chittoor,Maize,2017,1551.0,8084.0,5.21
Andhra Pradesh,Chittoor,Maize,2018,1307.0,1149.0,0.88
Andhra Pradesh,Chittoor,Maize,2019,2655.0,6977.0,2.63
Andhra Pradesh,Chittoor,Maize,2020,1493.0,3931.0,2.63
Andhra Pradesh,Chittoor,Maize,2021,2259.0,7046.0,3.12
Andhra Pradesh,Chittoor,Maize,2022,699.0,4339.0,6.21
Andhra Pradesh,East godavari,Maize,2012,1000.0,2000.0,2.0
Andhra Pradesh,East godavari,Maize,2013,513.0,1626.0,3.17
Andhra Pradesh,East godavari,Maize,2014,755.0,2500.0,3.31
Andhra Pradesh,East godavari,Maize,2015,719.0,2739.0,3.81
Andhra Pradesh,East godavari,Maize,2016,643.0,2614.0,4.07
Andhra Pradesh,East godavari,Maize,2017,731.0,3110.0,4.25
Andhra Pradesh,East godavari,Maize,2018,769.0,3287.0,4.27
Andhra Pradesh,East godavari,Maize,2019,728.0,3593.0,4.94
Andhra Pradesh,East godavari,Maize,2020,681.0,1812.0,2.66
Andhra Pradesh,East godavari,Maize,2021,580.0,1362.0,2.35
Andhra Pradesh,East godavari,Maize,2022,149.0,623.0,4.18
Andhra Pradesh,Eluru,Maize,2022,388.0,1990.0,5.13
Andhra Pradesh,Guntur,Maize,2012,1000.0,4000.0,4.0
Andhra Pradesh,Guntur,Maize,2013,1530.0,4850.0,3.17
Andhra Pradesh,Guntur,Maize,2014,367.0,1215.0,3.31
Andhra Pradesh,Guntur,Maize,2015,689.0,2625.0,3.81
Andhra Pradesh,Guntur,Maize,2016,411.0,1671.0,4.07
Andhra Pradesh,Guntur,Maize,2017,741.0,3153.0,4.26
