state,district,crop,year,area,production,yield,annual_rainfall,n_high,n_medium,n_low,p_high,p_medium,p_low,k_high,k_medium,k_low,oc_high,oc_medium,oc_low,ph_alkaline,ph_acidic,ph_neutral,ec_nonsaline,ec_saline
andhra pradesh,chittoor,Cotton(lint),2016,517,1311,2.54,663.9,0.05,21.35,78.6,37.46,35.76,26.78,50.23,28.79,20.98,5.85,30.3,63.85,1.7,0.28,98.02,99.04,0.96
andhra pradesh,chittoor,Cotton(lint),2017,328,877,2.67,1139,0.05,21.35,78.6,37.46,35.76,26.78,50.23,28.79,20.98,5.85,30.3,63.85,1.7,0.28,98.02,99.04,0.96
andhra pradesh,chittoor,Cotton(lint),2018,177,218,1.23,595.6,0.05,21.35,78.6,37.46,35.76,26.78,50.23,28.79,20.98,5.85,30.3,63.85,1.7,0.28,98.02,99.04,0.96
andhra pradesh,chittoor,Cotton(lint),2019,157,82,0.52,939.3,0.05,21.35,78.6,37.46,35.76,26.78,50.23,28.79,20.98,5.85,30.3,63.85,1.7,0.28,98.02,99.04,0.96
andhra pradesh,chittoor,Cotton(lint),2020,28,78,2.79,1420.1,0.05,21.35,78.6,37.46,35.76,26.78,50.23,28.79,20.98,5.85,30.3,63.85,1.7,0.28,98.02,99.04,0.96
andhra pradesh,chittoor,Cotton(lint),2021,51,89,1.75,1471.9,0.05,21.35,78.6,37.46,35.76,26.78,50.23,28.79,20.98,5.85,30.3,63.85,1.7,0.28,98.02,99.04,0.96
andhra pradesh,chittoor,Cotton(lint),2022,26,47,1.81,1115.3,0.05,21.35,78.6,37.46,35.76,26.78,50.23,28.79,20.98,5.85,30.3,63.85,1.7,0.28,98.02,99.04,0.96
andhra pradesh,east godavari,Cotton(lint),2012,17000,32000,1.88,1445.3,0.06,9.98,89.95,0.2,16.53,83.27,5.8,57.71,36.49,18.4,33.7,47.9,0.2,0.08,99.72,99.06,0.94
andhra pradesh,east godavari,Cotton(lint),2013,21781,24728,1.14,1120.2,0.06,9.98,89.95,0.2,16.53,83.27,5.8,57.71,36.49,18.4,33.7,47.9,0.2,0.08,99.72,99.06,0.94
andhra pradesh,east godavari,Cotton(lint),2014,22433,47597,2.12,635.7,0.06,9.98,89.95,0.2,16.53,83.27,5.8,57.71,36.49,18.4,33.7,47.9,0.2,0.08,99.72,99.06,0.94
andhra pradesh,east godavari,Cotton(lint),2015,20565,60153,2.93,1099,0.06,9.98,89.95,0.2,16.53,83.27,5.8,57.71,36.49,18.4,33.7,47.9,0.2,0.08,99.72,99.06,0.94
andhra pradesh,east godavari,Cotton(lint),2016,12743,33744,2.65,1091.4,0.06,9.98,89.95,0.2,16.53,83.27,5.8,57.71,36.49,18.4,33.7,47.9,0.2,0.08,99.72,99.06,0.94
andhra pradesh,east godavari,Cotton(lint),2017,16364,35740,2.18,962.8,0.06,9.98,89.95,0.2,16.53,83.27,5.8,57.71,36.49,18.4,33.7,47.9,0.2,0.08,99.72,99.06,0.94
andhra pradesh,east godavari,Cotton(lint),2018,11933,31637,2.65,1136.5,0.06,9.98,89.95,0.2,16.53,83.27,5.8,57.71,36.49,18.4,33.7,47.9,0.2,0.08,99.72,99.06,0.94
andhra pradesh,east godavari,Cotton(lint),2019,12896,6617,0.51,1192.9,0.06,9.98,89.95,0.2,16.53,83.27,5.8,57.71,36.49,18.4,33.7,47.9,0.2,0.08,99.72,99.06,0.94
andhra pradesh,east godavari,Cotton(lint),2020,6962,15995,2.3,1464.7,0.06,9.98,89.95,0.2,16.53,83.27,5.8,57.71,36.49,18.4,33.7,47.9,0.2,0.08,99.72,99.06,0.94
andhra pradesh,east godavari,Cotton(lint),2021,5023,18529,3.69,1243.5,0.06,9.98,89.95,0.2,16.53,83.27,5.8,57.71,36.49,18.4,33.7,47.9,0.2,0.08,99.72,99.06,0.94
andhra pradesh,east godavari,Cotton(lint),2022,198,556,2.81,1328.5,0.06,9.98,89.95,0.2,16.53,83.27,5.8,57.71,36.49,18.4,33.7,47.9,0.2,0.08,99.72,99.06,0.94
andhra pradesh,eluru,Cotton(lint),2022,3786,11402,3.01,,0.18,19.35,80.47,64.47,29.74,5.8,50.89,28.47,20.64,23,18.49,58.51,3.43,3.1,93.47,86.47,13.53
andhra pradesh,guntur,Cotton(lint),2012,187000,709000,3.79,1012.7,0.27,10.32,89.41,88.01,9.06,2.93,66.02,27.49,6.49,96.07,2.73,1.2,3.28,0.08,96.64,83.17,16.83
andhra pradesh,guntur,Cotton(lint),2013,193207,752371,3.89,1161.5,0.27,10.32,89.41,88.01,9.06,2.93,66.02,27.49,6.49,96.07,2.73,1.2,3.28,0.08,96.64,83.17,16.83
andhra pradesh,guntur,Cotton(lint),2014,206374,1075856,5.21,681.4,0.27,10.32,89.41,88.01,9.06,2.93,66.02,27.49,6.49,96.07,2.73,1.2,3.28,0.08,96.64,83.17,16.83
andhra pradesh,guntur,Cotton(lint),2015,198220,768744,3.88,713.6,0.27,10.32,89.41,88.01,9.06,2.93,66.02,27.49,6.49,96.07,2.73,1.2,3.28,0.08,96.64,83.17,16.83
andhra pradesh,guntur,Cotton(lint),2016,141856,654201,4.61,965.3,0.27,10.32,89.41,88.01,9.06,2.93,66.02,27.49,6.49,96.07,2.73,1.2,3.28,0.08,96.64,83.17,16.83
andhra pradesh,guntur,Cotton(lint),2017,183735,802213,4.37,791.6,0.27,10.32,89.41,88.01,9.06,2.93,66.02,27.49,6.49,96.07,2.73,1.2,3.28,0.08,96.64,83.17,16.83
andhra pradesh,guntur,Cotton(lint),2018,176679,743399,4.21,659.7,0.27,10.32,89.41,88.01,9.06,2.93,66.02,27.49,6.49,96.07,2.73,1.2,3.28,0.08,96.64,83.17,16.83
andhra pradesh,guntur,Cotton(lint),2019,182408,167541,0.92,939,0.27,10.32,89.41,88.01,9.06,2.93,66.02,27.49,6.49,96.07,2.73,1.2,3.28,0.08,96.64,83.17,16.83
andhra pradesh,guntur,Cotton(lint),2020,162789,458324,2.82,1211.7,0.27,10.32,89.41,88.01,9.06,2.93,66.02,27.49,6.49,96.07,2.73,1.2,3.28,0.08,96.64,83.17,16.83
andhra pradesh,guntur,Cotton(lint),2021,109585,383294,3.5,1034.3,0.27,10.32,89.41,88.01,9.06,2.93,66.02,27.49,6.49,96.07,2.73,1.2,3.28,0.08,96.64,83.17,16.83
andhra pradesh,guntur,Cotton(lint),2022,27843,90425,3.25,983.6,0.27,10.32,89.41,88.01,9.06,2.93,66.02,27.49,6.49,96.07,2.73,1.2,3.28,0.08,96.64,83.17,16.83
andhra pradesh,kadapa,Cotton(lint),2012,29000,59000,2.03,,,,,,,,,,,,,,,,,,
andhra pradesh,kadapa,Cotton(lint),2013,34119,50175,1.47,,,,,,,,,,,,,,,,,,
andhra pradesh,kadapa,Cotton(lint),2014,34346,57550,1.68,,,,,,,,,,,,,,,,,,
andhra pradesh,kadapa,Cotton(lint),2015,32753,46665,1.42,,,,,,,,,,,,,,,,,,
andhra pradesh,kadapa,Cotton(lint),2016,18840,17430,0.93,,,,,,,,,,,,,,,,,,
andhra pradesh,kadapa,Cotton(lint),2017,24449,17720,0.72,,,,,,,,,,,,,,,,,,
andhra pradesh,kadapa,Cotton(lint),2018,10940,22268,2.04,,,,,,,,,,,,,,,,,,
andhra pradesh,kadapa,Cotton(lint),2019,13410,9576,0.71,,,,,,,,,,,,,,,,,,
andhra pradesh,kadapa,Cotton(lint),2020,15227,15625,1.03,,,,,,,,,,,,,,,,,,
andhra pradesh,kadapa,Cotton(lint),2021,22496,41421,1.84,,,,,,,,,,,,,,,,,,
andhra pradesh,kadapa,Cotton(lint),2022,46263,34651,0.75,,,,,,,,,,,,,,,,,,
andhra pradesh,kakinada,Cotton(lint),2022,2064,7502,3.63,,0.15,61.47,38.38,82.98,13,4.01,47.18,39.95,12.87,17.84,46.86,35.3,2.47,2.44,95.09,96.99,3.01
andhra pradesh,krishna,Cotton(lint),2012,65000,209000,3.22,1509.6,0.23,9.01,90.76,22.36,60.85,16.79,14.16,5.44,80.4,27.1,44.45,28.45,1.2,0.01,98.8,97.42,2.58
andhra pradesh,krishna,Cotton(lint),2013,59304,224658,3.79,1317.3,0.23,9.01,90.76,22.36,60.85,16.79,14.16,5.44,80.4,27.1,44.45,28.45,1.2,0.01,98.8,97.42,2.58
andhra pradesh,krishna,Cotton(lint),2014,55571,261650,4.71,622.9,0.23,9.01,90.76,22.36,60.85,16.79,14.16,5.44,80.4,27.1,44.45,28.45,1.2,0.01,98.8,97.42,2.58
andhra pradesh,krishna,Cotton(lint),2015,52784,200829,3.8,944.8,0.23,9.01,90.76,22.36,60.85,16.79,14.16,5.44,80.4,27.1,44.45,28.45,1.2,0.01,98.8,97.42,2.58
andhra pradesh,krishna,Cotton(lint),2016,37312,159453,4.27,1016.9,0.23,9.01,90.76,22.36,60.85,16.79,14.16,5.44,80.4,27.1,44.45,28.45,1.2,0.01,98.8,97.42,2.58
andhra pradesh,krishna,Cotton(lint),2017,48357,195830,4.05,867.7,0.23,9.01,90.76,22.36,60.85,16.79,14.16,5.44,80.4,27.1,44.45,28.45,1.2,0.01,98.8,97.42,2.58
andhra pradesh,krishna,Cotton(lint),2018,47109,174431,3.7,950.9,0.23,9.01,90.76,22.36,60.85,16.79,14.16,5.44,80.4,27.1,44.45,28.45,1.2,0.01,98.8,97.42,2.58
andhra pradesh,krishna,Cotton(lint),2019,48423,37671,0.78,997.2,0.23,9.01,90.76,22.36,60.85,16.79,14.16,5.44,80.4,27.1,44.45,28.45,1.2,0.01,98.8,97.42,2.58
andhra pradesh,krishna,Cotton(lint),2020,47851,111337,2.33,1360.1,0.23,9.01,90.76,22.36,60.85,16.79,14.16,5.44,80.4,27.1,44.45,28.45,1.2,0.01,98.8,97.42,2.58
andhra pradesh,krishna,Cotton(lint),2021,36172,137397,3.8,1176.8,0.23,9.01,90.76,22.36,60.85,16.79,14.16,5.44,80.4,27.1,44.45,28.45,1.2,0.01,98.8,97.42,2.58
andhra pradesh,krishna,Cotton(lint),2022,320,900,2.81,992.9,0.23,9.01,90.76,22.36,60.85,16.79,14.16,5.44,80.4,27.1,44.45,28.45,1.2,0.01,98.8,97.42,2.58
andhra pradesh,kurnool,Cotton(lint),2012,155000,176000,1.14,609.3,0.51,15.09,84.4,43.23,51.6,5.17,92.8,6.34,0.87,6.76,26.15,67.09,4.16,0.02,95.82,99.19,0.81
andhra pradesh,kurnool,Cotton(lint),2013,203835,679850,3.34,703.4,0.51,15.09,84.4,43.23,51.6,5.17,92.8,6.34,0.87,6.76,26.15,67.09,4.16,0.02,95.82,99.19,0.81
andhra pradesh,kurnool,Cotton(lint),2014,306058,809620,2.65,628.9,0.51,15.09,84.4,43.23,51.6,5.17,92.8,6.34,0.87,6.76,26.15,67.09,4.16,0.02,95.82,99.19,0.81
andhra pradesh,kurnool,Cotton(lint),2015,200123,366412,1.83,470.4,0.51,15.09,84.4,43.23,51.6,5.17,92.8,6.34,0.87,6.76,26.15,67.09,4.16,0.02,95.82,99.19,0.81
andhra pradesh,kurnool,Cotton(lint),2016,176195,531777,3.02,606.2,0.51,15.09,84.4,43.23,51.6,5.17,92.8,6.34,0.87,6.76,26.15,67.09,4.16,0.02,95.82,99.19,0.81
andhra pradesh,kurnool,Cotton(lint),2017,259225,733779,2.83,743.8,0.51,15.09,84.4,43.23,51.6,5.17,92.8,6.34,0.87,6.76,26.15,67.09,4.16,0.02,95.82,99.19,0.81
andhra pradesh,kurnool,Cotton(lint),2018,259498,304183,1.17,375.3,0.51,15.09,84.4,43.23,51.6,5.17,92.8,6.34,0.87,6.76,26.15,67.09,4.16,0.02,95.82,99.19,0.81
andhra pradesh,kurnool,Cotton(lint),2019,274620,153618,0.56,724.1,0.51,15.09,84.4,43.23,51.6,5.17,92.8,6.34,0.87,6.76,26.15,67.09,4.16,0.02,95.82,99.19,0.81
andhra pradesh,kurnool,Cotton(lint),2020,275798,862950,3.13,1084,0.51,15.09,84.4,43.23,51.6,5.17,92.8,6.34,0.87,6.76,26.15,67.09,4.16,0.02,95.82,99.19,0.81
andhra pradesh,kurnool,Cotton(lint),2021,266365,508867,1.91,751,0.51,15.09,84.4,43.23,51.6,5.17,92.8,6.34,0.87,6.76,26.15,67.09,4.16,0.02,95.82,99.19,0.81
andhra pradesh,kurnool,Cotton(lint),2022,272560,615123,2.26,759.1,0.51,15.09,84.4,43.23,51.6,5.17,92.8,6.34,0.87,6.76,26.15,67.09,4.16,0.02,95.82,99.19,0.81
andhra pradesh,nandyal,Cotton(lint),2022,33223,56952,1.71,,0.04,0.98,98.98,61.17,32.33,6.51,98.72,1.07,0.21,0.51,31.61,67.88,7.85,0.02,92.13,93.26,6.74
andhra pradesh,ntr,Cotton(lint),2022,39208,131034,3.34,,0.91,8.75,90.34,29.7,26.12,44.17,78.59,19.21,2.2,1.47,6.34,92.19,1.03,0.1,98.87,93.79,6.21
andhra pradesh,palnadu,Cotton(lint),2022,104942,317708,3.03,,1.03,46.45,52.52,23.35,50.53,26.12,88.97,8.62,2.41,25.26,23.99,50.75,4.02,0.07,95.91,98.38,1.62
andhra pradesh,parvathipuram manyam,Cotton(lint),2022,8845,27229,3.08,,5.86,28,66.13,49.2,47.78,3.02,68.03,29.06,2.9,2.64,19.86,77.49,0.64,1.21,98.15,99.55,0.45
andhra pradesh,prakasam,Cotton(lint),2012,67000,208000,3.1,886.4,0.23,3.94,95.83,62.57,27.19,10.24,62.44,32.9,4.66,7.68,15.65,76.67,31.83,0.19,67.97,99.98,0.02
andhra pradesh,prakasam,Cotton(lint),2013,82988,276301,3.33,986.2,0.23,3.94,95.83,62.57,27.19,10.24,62.44,32.9,4.66,7.68,15.65,76.67,31.83,0.19,67.97,99.98,0.02
andhra pradesh,prakasam,Cotton(lint),2014,71520,252407,3.53,497.1,0.23,3.94,95.83,62.57,27.19,10.24,62.44,32.9,4.66,7.68,15.65,76.67,31.83,0.19,67.97,99.98,0.02
andhra pradesh,prakasam,Cotton(lint),2015,58025,163447,2.82,634,0.23,3.94,95.83,62.57,27.19,10.24,62.44,32.9,4.66,7.68,15.65,76.67,31.83,0.19,67.97,99.98,0.02
andhra pradesh,prakasam,Cotton(lint),2016,14105,43441,3.08,549.4,0.23,3.94,95.83,62.57,27.19,10.24,62.44,32.9,4.66,7.68,15.65,76.67,31.83,0.19,67.97,99.98,0.02
andhra pradesh,prakasam,Cotton(lint),2017,35076,84281,2.4,615.1,0.23,3.94,95.83,62.57,27.19,10.24,62.44,32.9,4.66,7.68,15.65,76.67,31.83,0.19,67.97,99.98,0.02
andhra pradesh,prakasam,Cotton(lint),2018,38467,77234,2.01,441.7,0.23,3.94,95.83,62.57,27.19,10.24,62.44,32.9,4.66,7.68,15.65,76.67,31.83,0.19,67.97,99.98,0.02
andhra pradesh,prakasam,Cotton(lint),2019,45376,22296,0.49,726,0.23,3.94,95.83,62.57,27.19,10.24,62.44,32.9,4.66,7.68,15.65,76.67,31.83,0.19,67.97,99.98,0.02
andhra pradesh,prakasam,Cotton(lint),2020,32175,44541,1.38,960.7,0.23,3.94,95.83,62.57,27.19,10.24,62.44,32.9,4.66,7.68,15.65,76.67,31.83,0.19,67.97,99.98,0.02
andhra pradesh,prakasam,Cotton(lint),2021,32341,62180,1.92,832.4,0.23,3.94,95.83,62.57,27.19,10.24,62.44,32.9,4.66,7.68,15.65,76.67,31.83,0.19,67.97,99.98,0.02
andhra pradesh,prakasam,Cotton(lint),2022,46588,79038,1.7,877.9,0.23,3.94,95.83,62.57,27.19,10.24,62.44,32.9,4.66,7.68,15.65,76.67,31.83,0.19,67.97,99.98,0.02
andhra pradesh,spsr nellore,Cotton(lint),2012,7000,19000,2.71,,0.03,5.78,94.19,32.37,35.71,31.92,22.78,33.07,44.15,11.46,24.14,64.39,8.62,1.03,90.35,84.88,15.12
andhra pradesh,spsr nellore,Cotton(lint),2013,5220,13081,2.51,,0.03,5.78,94.19,32.37,35.71,31.92,22.78,33.07,44.15,11.46,24.14,64.39,8.62,1.03,90.35,84.88,15.12
andhra pradesh,spsr nellore,Cotton(lint),2014,6615,20463,3.09,,0.03,5.78,94.19,32.37,35.71,31.92,22.78,33.07,44.15,11.46,24.14,64.39,8.62,1.03,90.35,84.88,15.12
andhra pradesh,spsr nellore,Cotton(lint),2015,4617,10969,2.38,,0.03,5.78,94.19,32.37,35.71,31.92,22.78,33.07,44.15,11.46,24.14,64.39,8.62,1.03,90.35,84.88,15.12
andhra pradesh,spsr nellore,Cotton(lint),2016,2124,5169,2.43,,0.03,5.78,94.19,32.37,35.71,31.92,22.78,33.07,44.15,11.46,24.14,64.39,8.62,1.03,90.35,84.88,15.12
andhra pradesh,spsr nellore,Cotton(lint),2017,3863,7591,1.97,,0.03,5.78,94.19,32.37,35.71,31.92,22.78,33.07,44.15,11.46,24.14,64.39,8.62,1.03,90.35,84.88,15.12
andhra pradesh,spsr nellore,Cotton(lint),2018,791,2097,2.65,,0.03,5.78,94.19,32.37,35.71,31.92,22.78,33.07,44.15,11.46,24.14,64.39,8.62,1.03,90.35,84.88,15.12
andhra pradesh,spsr nellore,Cotton(lint),2019,1012,435,0.43,,0.03,5.78,94.19,32.37,35.71,31.92,22.78,33.07,44.15,11.46,24.14,64.39,8.62,1.03,90.35,84.88,15.12
andhra pradesh,spsr nellore,Cotton(lint),2020,2748,7539,2.74,,0.03,5.78,94.19,32.37,35.71,31.92,22.78,33.07,44.15,11.46,24.14,64.39,8.62,1.03,90.35,84.88,15.12
andhra pradesh,spsr nellore,Cotton(lint),2021,1936,5741,2.97,1422.2,0.03,5.78,94.19,32.37,35.71,31.92,22.78,33.07,44.15,11.46,24.14,64.39,8.62,1.03,90.35,84.88,15.12
andhra pradesh,spsr nellore,Cotton(lint),2022,5207,9765,1.88,1163.6,0.03,5.78,94.19,32.37,35.71,31.92,22.78,33.07,44.15,11.46,24.14,64.39,8.62,1.03,90.35,84.88,15.12
andhra pradesh,sri sathya sai,Cotton(lint),2022,5978,3397,0.57,,0.04,10,89.96,68.34,28.07,3.59,63.98,33.62,2.4,3.44,15.23,81.33,0.12,0.02,99.86,98.56,1.44
andhra pradesh,srikakulam,Cotton(lint),2012,10000,34000,3.4,1289.2,0.06,19.33,80.61,6.51,74.55,18.94,57.67,41.69,0.64,15.42,51.41,33.16,0.09,0.97,98.95,98.95,1.05
andhra pradesh,srikakulam,Cotton(lint),2013,9846,28843,2.93,1421.9,0.06,19.33,80.61,6.51,74.55,18.94,57.67,41.69,0.64,15.42,51.41,33.16,0.09,0.97,98.95,98.95,1.05
andhra pradesh,srikakulam,Cotton(lint),2014,9563,42122,4.4,1274.3,0.06,19.33,80.61,6.51,74.55,18.94,57.67,41.69,0.64,15.42,51.41,33.16,0.09,0.97,98.95,98.95,1.05
andhra pradesh,srikakulam,Cotton(lint),2015,8883,28105,3.16,952.4,0.06,19.33,80.61,6.51,74.55,18.94,57.67,41.69,0.64,15.42,51.41,33.16,0.09,0.97,98.95,98.95,1.05
andhra pradesh,srikakulam,Cotton(lint),2016,7155,24143,3.37,1099.7,0.06,19.33,80.61,6.51,74.55,18.94,57.67,41.69,0.64,15.42,51.41,33.16,0.09,0.97,98.95,98.95,1.05
andhra pradesh,srikakulam,Cotton(lint),2017,7478,27390,3.66,1250.5,0.06,19.33,80.61,6.51,74.55,18.94,57.67,41.69,0.64,15.42,51.41,33.16,0.09,0.97,98.95,98.95,1.05
andhra pradesh,srikakulam,Cotton(lint),2018,5488,16246,2.96,1310.8,0.06,19.33,80.61,6.51,74.55,18.94,57.67,41.69,0.64,15.42,51.41,33.16,0.09,0.97,98.95,98.95,1.05
andhra pradesh,srikakulam,Cotton(lint),2019,5712,3016,0.53,1336.4,0.06,19.33,80.61,6.51,74.55,18.94,57.67,41.69,0.64,15.42,51.41,33.16,0.09,0.97,98.95,98.95,1.05
andhra pradesh,srikakulam,Cotton(lint),2020,3723,13491,3.62,1054.1,0.06,19.33,80.61,6.51,74.55,18.94,57.67,41.69,0.64,15.42,51.41,33.16,0.09,0.97,98.95,98.95,1.05
andhra pradesh,srikakulam,Cotton(lint),2021,3457,9619,2.78,1374.2,0.06,19.33,80.61,6.51,74.55,18.94,57.67,41.69,0.64,15.42,51.41,33.16,0.09,0.97,98.95,98.95,1.05
andhra pradesh,srikakulam,Cotton(lint),2022,1381,3454,2.5,1185.3,0.06,19.33,80.61,6.51,74.55,18.94,57.67,41.69,0.64,15.42,51.41,33.16,0.09,0.97,98.95,98.95,1.05
andhra pradesh,tirupati,Cotton(lint),2022,112,204,1.82,,0,36.09,63.91,49.85,26.72,23.43,36.13,46.03,17.83,3.64,40.94,55.42,1.18,1.51,97.31,95.45,4.55
andhra pradesh,visakhapatanam,Cotton(lint),2012,3000,10000,3.33,,0.63,20.59,78.77,48.91,27.82,23.27,10.61,37.45,51.94,47.97,49.14,2.89,1.94,0.64,97.42,99.58,0.42
andhra pradesh,visakhapatanam,Cotton(lint),2013,2798,8196,2.93,1082.5,0.63,20.59,78.77,48.91,27.82,23.27,10.61,37.45,51.94,47.97,49.14,2.89,1.94,0.64,97.42,99.58,0.42
andhra pradesh,visakhapatanam,Cotton(lint),2014,2840,12510,4.4,,0.63,20.59,78.77,48.91,27.82,23.27,10.61,37.45,51.94,47.97,49.14,2.89,1.94,0.64,97.42,99.58,0.42
andhra pradesh,visakhapatanam,Cotton(lint),2015,2123,3609,1.7,,0.63,20.59,78.77,48.91,27.82,23.27,10.61,37.45,51.94,47.97,49.14,2.89,1.94,0.64,97.42,99.58,0.42
andhra pradesh,visakhapatanam,Cotton(lint),2016,1652,1950,1.18,,0.63,20.59,78.77,48.91,27.82,23.27,10.61,37.45,51.94,47.97,49.14,2.89,1.94,0.64,97.42,99.58,0.42
andhra pradesh,visakhapatanam,Cotton(lint),2017,1474,2000,1.36,,0.63,20.59,78.77,48.91,27.82,23.27,10.61,37.45,51.94,47.97,49.14,2.89,1.94,0.64,97.42,99.58,0.42
andhra pradesh,visakhapatanam,Cotton(lint),2018,1092,1632,1.49,,0.63,20.59,78.77,48.91,27.82,23.27,10.61,37.45,51.94,47.97,49.14,2.89,1.94,0.64,97.42,99.58,0.42
andhra pradesh,visakhapatanam,Cotton(lint),2019,976,396,0.41,,0.63,20.59,78.77,48.91,27.82,23.27,10.61,37.45,51.94,47.97,49.14,2.89,1.94,0.64,97.42,99.58,0.42
andhra pradesh,visakhapatanam,Cotton(lint),2020,810,660,0.81,,0.63,20.59,78.77,48.91,27.82,23.27,10.61,37.45,51.94,47.97,49.14,2.89,1.94,0.64,97.42,99.58,0.42
andhra pradesh,visakhapatanam,Cotton(lint),2021,274,315,1.15,,0.63,20.59,78.77,48.91,27.82,23.27,10.61,37.45,51.94,47.97,49.14,2.89,1.94,0.64,97.42,99.58,0.42
andhra pradesh,vizianagaram,Cotton(lint),2012,15000,29000,1.93,1296.9,0.02,6.83,93.16,60.38,35.76,3.87,49.9,46.01,4.09,0.12,13.33,86.55,0.01,0.12,99.87,99.98,0.02
andhra pradesh,vizianagaram,Cotton(lint),2013,15303,26735,1.75,1028.3,0.02,6.83,93.16,60.38,35.76,3.87,49.9,46.01,4.09,0.12,13.33,86.55,0.01,0.12,99.87,99.98,0.02
andhra pradesh,vizianagaram,Cotton(lint),2014,15698,37286,2.38,1204.4,0.02,6.83,93.16,60.38,35.76,3.87,49.9,46.01,4.09,0.12,13.33,86.55,0.01,0.12,99.87,99.98,0.02
andhra pradesh,vizianagaram,Cotton(lint),2015,15597,33141,2.12,1072.3,0.02,6.83,93.16,60.38,35.76,3.87,49.9,46.01,4.09,0.12,13.33,86.55,0.01,0.12,99.87,99.98,0.02
