States,Districts,Crop,Year,Area,Production,Yield
Andhra Pradesh,West godavari,Cotton(lint),2016,4615,14782,3.2
Andhra Pradesh,West godavari,Cotton(lint),2017,4525,13985,3.09
Andhra Pradesh,West godavari,Cotton(lint),2018,5235,16989,3.25
Andhra Pradesh,West godavari,Cotton(lint),2019,4856,2285,0.47
Andhra Pradesh,West godavari,Cotton(lint),2020,4770,7792,1.63
Andhra Pradesh,West godavari,Cotton(lint),2021,2929,8184,2.79
Andhra Pradesh,West godavari,Cotton(lint),2022,703934,1546694,2.2
Andhra Pradesh,Alluri sitharama raju,Groundnut,2022,2819,5260,1.87
Andhra Pradesh,Anakapalli,Groundnut,2022,75,232,3.09
Andhra Pradesh,Anantapur,Groundnut,2012,709000,296000,0.42
Andhra Pradesh,Anantapur,Groundnut,2013,711145,286591,0.4
Andhra Pradesh,Anantapur,Groundnut,2014,550794,148714,0.27
Andhra Pradesh,Anantapur,Groundnut,2015,444657,319708,0.72
Andhra Pradesh,Anantapur,Groundnut,2016,608162,140485,0.23
Andhra Pradesh,Anantapur,Groundnut,2017,402435,412093,1.02
Andhra Pradesh,Anantapur,Groundnut,2018,474392,150857,0.32
Andhra Pradesh,Anantapur,Groundnut,2019,371029,277530,0.75
Andhra Pradesh,Anantapur,Groundnut,2020,481154,227586,0.47
Andhra Pradesh,Anantapur,Groundnut,2021,497162,77557,0.16
Andhra Pradesh,Anantapur,Groundnut,2022,176634,80192,0.45
Andhra Pradesh,Annamayya,Groundnut,2022,27507,36007,1.31
Andhra Pradesh,Bapatla,Groundnut,2022,899,3051,3.39
Andhra Pradesh,Chittoor,Groundnut,2012,135000,87000,0.64
Andhra Pradesh,Chittoor,Groundnut,2013,143027,142455,1
Andhra Pradesh,Chittoor,Groundnut,2014,122578,72811,0.59
Andhra Pradesh,Chittoor,Groundnut,2015,114394,130867,1.14
Andhra Pradesh,Chittoor,Groundnut,2016,133124,71887,0.54
Andhra Pradesh,Chittoor,Groundnut,2017,115048,214449,1.86
Andhra Pradesh,Chittoor,Groundnut,2018,99275,89645,0.9
Andhra Pradesh,Chittoor,Groundnut,2019,95746,165832,1.73
Andhra Pradesh,Chittoor,Groundnut,2020,122977,127404,1.04
Andhra Pradesh,Chittoor,Groundnut,2021,93394,107870,1.15
Andhra Pradesh,Chittoor,Groundnut,2022,34308,53418,1.56
Andhra Pradesh,East godavari,Groundnut,2013,61,114,1.87
Andhra Pradesh,East godavari,Groundnut,2014,27,44,1.63
Andhra Pradesh,East godavari,Groundnut,2015,57,119,2.09
Andhra Pradesh,East godavari,Groundnut,2016,45,101,2.24
Andhra Pradesh,East godavari,Groundnut,2017,7,18,2.57
Andhra Pradesh,East godavari,Groundnut,2019,9,27,3
Andhra Pradesh,East godavari,Groundnut,2020,12,41,3.42
Andhra Pradesh,East godavari,Groundnut,2021,11,35,3.18
Andhra Pradesh,East godavari,Groundnut,2022,280,867,3.1
Andhra Pradesh,East godavari,Groundnut,2018,181,530,2.93
Andhra Pradesh,Eluru,Groundnut,2022,774,2512,3.25
Andhra Pradesh,Guntur,Groundnut,2013,510,955,1.87
Andhra Pradesh,Guntur,Groundnut,2014,804,1298,1.61
Andhra Pradesh,Guntur,Groundnut,2015,559,1168,2.09
Andhra Pradesh,Guntur,Groundnut,2016,698,1572,2.25
Andhra Pradesh,Guntur,Groundnut,2017,584,1465,2.51
Andhra Pradesh,Guntur,Groundnut,2018,597,1732,2.9
Andhra Pradesh,Guntur,Groundnut,2019,390,1190,3.05
Andhra Pradesh,Guntur,Groundnut,2020,434,1568,3.61
Andhra Pradesh,Guntur,Groundnut,2021,328,1427,4.35
Andhra Pradesh,Guntur,Groundnut,2022,16,50,3.13
Andhra Pradesh,Guntur,Groundnut,2012,7000,13000,1.86
Andhra Pradesh,Kadapa,Groundnut,2012,44000,11000,0.25
Andhra Pradesh,Kadapa,Groundnut,2013,42251,43307,1.02
Andhra Pradesh,Kadapa,Groundnut,2014,15754,6963,0.44
Andhra Pradesh,Kadapa,Groundnut,2015,28676,36619,1.28
Andhra Pradesh,Kadapa,Groundnut,2016,52015,19558,0.38
Andhra Pradesh,Kadapa,Groundnut,2017,25317,39495,1.56
Andhra Pradesh,Kadapa,Groundnut,2018,8627,4443,0.52
Andhra Pradesh,Kadapa,Groundnut,2019,8332,13156,1.58
Andhra Pradesh,Kadapa,Groundnut,2020,29827,28932,0.97
Andhra Pradesh,Kadapa,Groundnut,2021,23329,18990,0.81
Andhra Pradesh,Kadapa,Groundnut,2022,3651,6203,1.7
Andhra Pradesh,Kakinada,Groundnut,2022,5,15,3
Andhra Pradesh,Konaseema,Groundnut,2022,37,88,2.38
Andhra Pradesh,Krishna,Groundnut,2012,2000,5000,2.5
Andhra Pradesh,Krishna,Groundnut,2013,2079,4002,1.92
Andhra Pradesh,Krishna,Groundnut,2014,999,2690,2.69
Andhra Pradesh,Krishna,Groundnut,2015,1050,3583,3.41
Andhra Pradesh,Krishna,Groundnut,2016,926,4085,4.41
Andhra Pradesh,Krishna,Groundnut,2017,1148,3123,2.72
Andhra Pradesh,Krishna,Groundnut,2018,1029,4183,4.07
Andhra Pradesh,Krishna,Groundnut,2019,870,3611,4.15
Andhra Pradesh,Krishna,Groundnut,2020,1079,2487,2.3
Andhra Pradesh,Krishna,Groundnut,2021,992,2622,2.64
Andhra Pradesh,Krishna,Groundnut,2022,628,1571,2.5
Andhra Pradesh,Kurnool,Groundnut,2012,119000,88000,0.74
Andhra Pradesh,Kurnool,Groundnut,2013,150918,136128,0.9
Andhra Pradesh,Kurnool,Groundnut,2014,94160,67607,0.72
Andhra Pradesh,Kurnool,Groundnut,2015,73370,66620,0.91
Andhra Pradesh,Kurnool,Groundnut,2016,113447,99153,0.87
Andhra Pradesh,Kurnool,Groundnut,2017,85784,121985,1.42
Andhra Pradesh,Kurnool,Groundnut,2018,89187,42542,0.48
Andhra Pradesh,Kurnool,Groundnut,2019,79542,125040,1.57
Andhra Pradesh,Kurnool,Groundnut,2020,93972,95288,1.01
Andhra Pradesh,Kurnool,Groundnut,2021,95529,67921,0.71
Andhra Pradesh,Kurnool,Groundnut,2022,43865,44216,1.01
Andhra Pradesh,Nandyal,Groundnut,2022,9763,7391,0.76
Andhra Pradesh,Ntr,Groundnut,2022,30,93,3.1
Andhra Pradesh,Palnadu,Groundnut,2022,23,71,3.09
Andhra Pradesh,Parvathipuram manyam,Groundnut,2022,28,87,3.11
Andhra Pradesh,Prakasam,Groundnut,2012,3000,5000,1.67
Andhra Pradesh,Prakasam,Groundnut,2013,3484,6522,1.87
Andhra Pradesh,Prakasam,Groundnut,2014,2376,3835,1.61
Andhra Pradesh,Prakasam,Groundnut,2015,2949,9572,3.25
Andhra Pradesh,Prakasam,Groundnut,2016,3771,10069,2.67
Andhra Pradesh,Prakasam,Groundnut,2017,3106,7420,2.39
Andhra Pradesh,Prakasam,Groundnut,2018,1105,4239,3.84
Andhra Pradesh,Prakasam,Groundnut,2019,1605,5117,3.19
Andhra Pradesh,Prakasam,Groundnut,2020,2421,7483,3.09
Andhra Pradesh,Prakasam,Groundnut,2021,1693,4392,2.59
Andhra Pradesh,Prakasam,Groundnut,2022,446,989,2.22
Andhra Pradesh,Spsr nellore,Groundnut,2012,8000,22000,2.75
Andhra Pradesh,Spsr nellore,Groundnut,2013,10775,31323,2.91
Andhra Pradesh,Spsr nellore,Groundnut,2014,4707,13297,2.82
Andhra Pradesh,Spsr nellore,Groundnut,2015,5352,15895,2.97
Andhra Pradesh,Spsr nellore,Groundnut,2016,12184,31971,2.62
Andhra Pradesh,Spsr nellore,Groundnut,2017,8208,27940,3.4
Andhra Pradesh,Spsr nellore,Groundnut,2018,6463,26039,4.03
Andhra Pradesh,Spsr nellore,Groundnut,2019,5607,23050,4.11
Andhra Pradesh,Spsr nellore,Groundnut,2020,10636,42916,4.03
Andhra Pradesh,Spsr nellore,Groundnut,2021,7161,28379,3.96
Andhra Pradesh,Spsr nellore,Groundnut,2022,6239,24089,3.86
Andhra Pradesh,Sri sathya sai,Groundnut,2022,183385,50431,0.28
Andhra Pradesh,Srikakulam,Groundnut,2012,7000,8000,1.14
Andhra Pradesh,Srikakulam,Groundnut,2013,9945,14550,1.46
Andhra Pradesh,Srikakulam,Groundnut,2014,3874,3882,1
Andhra Pradesh,Srikakulam,Groundnut,2015,4165,4873,1.17
Andhra Pradesh,Srikakulam,Groundnut,2016,2791,3366,1.21
Andhra Pradesh,Srikakulam,Groundnut,2017,1808,1985,1.1
Andhra Pradesh,Srikakulam,Groundnut,2018,2041,2241,1.1
Andhra Pradesh,Srikakulam,Groundnut,2019,1097,1497,1.36
Andhra Pradesh,Srikakulam,Groundnut,2020,341,444,1.3
Andhra Pradesh,Srikakulam,Groundnut,2021,296,316,1.07
Andhra Pradesh,Srikakulam,Groundnut,2022,157,215,1.37
Andhra Pradesh,Tirupati,Groundnut,2022,5170,10779,2.08
Andhra Pradesh,Visakhapatanam,Groundnut,2012,2000,2000,1
Andhra Pradesh,Visakhapatanam,Groundnut,2013,1778,1963,1.1
Andhra Pradesh,Visakhapatanam,Groundnut,2014,1383,1481,1.07
Andhra Pradesh,Visakhapatanam,Groundnut,2015,1472,2053,1.39
Andhra Pradesh,Visakhapatanam,Groundnut,2016,1737,2328,1.34
Andhra Pradesh,Visakhapatanam,Groundnut,2017,1655,2243,1.36
Andhra Pradesh,Visakhapatanam,Groundnut,2018,1726,2608,1.51
Andhra Pradesh,Visakhapatanam,Groundnut,2019,1551,2275,1.47
Andhra Pradesh,Visakhapatanam,Groundnut,2020,1385,2925,2.11
Andhra Pradesh,Visakhapatanam,Groundnut,2021,1738,3026,1.74
Andhra Pradesh,Visakhapatanam,Groundnut,2022,59,183,3.1
Andhra Pradesh,Vizianagaram,Groundnut,2012,12000,13000,1.08
Andhra Pradesh,Vizianagaram,Groundnut,2013,8927,10873,1.22
Andhra Pradesh,Vizianagaram,Groundnut,2014,6189,6344,1.03
Andhra Pradesh,Vizianagaram,Groundnut,2015,4428,4614,1.04
Andhra Pradesh,Vizianagaram,Groundnut,2016,3285,3797,1.16
Andhra Pradesh,Vizianagaram,Groundnut,2017,2046,2371,1.16
Andhra Pradesh,Vizianagaram,Groundnut,2018,1825,1851,1.01
Andhra Pradesh,Vizianagaram,Groundnut,2019,980,1259,1.28
Andhra Pradesh,Vizianagaram,Groundnut,2020,470,569,1.21
Andhra Pradesh,Vizianagaram,Groundnut,2021,545,615,1.13
Andhra Pradesh,Vizianagaram,Groundnut,2022,359,477,1.33
Andhra Pradesh,West godavari,Groundnut,2012,1000,2000,2
Andhra Pradesh,West godavari,Groundnut,2013,1091,2042,1.87
Andhra Pradesh,West godavari,Groundnut,2014,343,554,1.62
Andhra Pradesh,West godavari,Groundnut,2015,1001,2092,2.09
Andhra Pradesh,West godavari,Groundnut,2016,1048,2360,2.25
Andhra Pradesh,West godavari,Groundnut,2017,784,1967,2.51
Andhra Pradesh,West godavari,Groundnut,2018,872,2530,2.9
Andhra Pradesh,West godavari,Groundnut,2019,1117,2322,2.08
Andhra Pradesh,West godavari,Groundnut,2020,816,2254,2.76
Andhra Pradesh,West godavari,Groundnut,2021,889,3119,3.51
Andhra Pradesh,West godavari,Groundnut,2022,4,15,3.75
Andhra Pradesh,Alluri sitharama raju,Maize,2022,4257,13295,3.12
Andhra Pradesh,Anakapalli,Maize,2022,34,142,4.18
Andhra Pradesh,Anantapur,Maize,2012,22000,63000,2.86
Andhra Pradesh,Anantapur,Maize,2013,27087,53226,1.97
Andhra Pradesh,Anantapur,Maize,2014,16839,42687,2.54
Andhra Pradesh,Anantapur,Maize,2015,13743,39662,2.89
Andhra Pradesh,Anantapur,Maize,2016,14131,29152,2.06
Andhra Pradesh,Anantapur,Maize,2017,19044,71720,3.77
Andhra Pradesh,Anantapur,Maize,2018,14627,41497,2.84
Andhra Pradesh,Anantapur,Maize,2019,14089,39365,2.79
Andhra Pradesh,Anantapur,Maize,2020,17529,67311,3.84
Andhra Pradesh,Anantapur,Maize,2021,23409,39093,1.67
Andhra Pradesh,Anantapur,Maize,2022,15467,60167,3.89
Andhra Pradesh,Annamayya,Maize,2022,2208,13021,5.9
Andhra Pradesh,Bapatla,Maize,2022,1212,5955,4.91
Andhra Pradesh,Chittoor,Maize,2012,1000,4000,4
Andhra Pradesh,Chittoor,Maize,2013,1905,7683,4.03
Andhra Pradesh,Chittoor,Maize,2014,2693,8820,3.28
Andhra Pradesh,Chittoor,Maize,2015,2271,8019,3.53
Andhra Pradesh,Chittoor,Maize,2016,1144,3808,3.33
Andhra Pradesh,Chittoor,Maize,2017,1551,8084,5.21
Andhra Pradesh,Chittoor,Maize,2018,1307,1149,0.88
Andhra Pradesh,Chittoor,Maize,2019,2655,6977,2.63
Andhra Pradesh,Chittoor,Maize,2020,1493,3931,2.63
Andhra Pradesh,Chittoor,Maize,2021,2259,7046,3.12
Andhra Pradesh,Chittoor,Maize,2022,699,4339,6.21
Andhra Pradesh,East godavari,Maize,2012,1000,2000,2
Andhra Pradesh,East godavari,Maize,2013,513,1626,3.17
Andhra Pradesh,East godavari,Maize,2014,755,2500,3.31
Andhra Pradesh,East godavari,Maize,2015,719,2739,3.81
Andhra Pradesh,East godavari,Maize,2016,643,2614,4.07
Andhra Pradesh,East godavari,Maize,2017,731,3110,4.25
Andhra Pradesh,East godavari,Maize,2018,769,3287,4.27
Andhra Pradesh,East godavari,Maize,2019,728,3593,4.94
Andhra Pradesh,East godavari,Maize,2020,681,1812,2.66
Andhra Pradesh,East godavari,Maize,2021,580,1362,2.35
Andhra Pradesh,East godavari,Maize,2022,149,623,4.18
Andhra Pradesh,Eluru,Maize,2022,388,1990,5.13
Andhra Pradesh,Guntur,Maize,2012,1000,4000,4
Andhra Pradesh,Guntur,Maize,2013,1530,4850,3.17
Andhra Pradesh,Guntur,Maize,2014,367,1215,3.31
Andhra Pradesh,Guntur,Maize,2015,689,2625,3.81
Andhra Pradesh,Guntur,Maize,2016,411,1671,4.07
Andhra Pradesh,Guntur,Maize,2017,741,3153,4.26
Andhra Pradesh,Guntur,Maize,2018,455,1945,4.27
Andhra Pradesh,Guntur,Maize,2019,674,3326,4.93
Andhra Pradesh,Guntur,Maize,2020,1119,7455,6.66
Andhra Pradesh,Guntur,Maize,2021,896,4876,5.44
Andhra Pradesh,Guntur,Maize,2022,109,455,4.17
Andhra Pradesh,Kadapa,Maize,2012,1000,2000,2
Andhra Pradesh,Kadapa,Maize,2013,1125,4537,4.03
Andhra Pradesh,Kadapa,Maize,2014,408,1336,3.27
Andhra Pradesh,Kadapa,Maize,2015,190,671,3.53
Andhra Pradesh,Kadapa,Maize,2016,405,1714,4.23
Andhra Pradesh,Kadapa,Maize,2017,918,4585,4.99
Andhra Pradesh,Kadapa,Maize,2018,665,2673,4.02
Andhra Pradesh,Kadapa,Maize,2019,219,985,4.5
Andhra Pradesh,Kadapa,Maize,2020,699,1439,2.06
Andhra Pradesh,Kadapa,Maize,2021,693,2082,3
Andhra Pradesh,Kadapa,Maize,2022,627,1836,2.93
Andhra Pradesh,Kakinada,Maize,2022,184,769,4.18
Andhra Pradesh,Konaseema,Maize,2022,1,4,4
Andhra Pradesh,Krishna,Maize,2012,5000,25000,5
Andhra Pradesh,Krishna,Maize,2013,7321,30368,4.15
Andhra Pradesh,Krishna,Maize,2014,4682,20048,4.28
Andhra Pradesh,Krishna,Maize,2015,3457,13956,4.04
Andhra Pradesh,Krishna,Maize,2016,4545,19716,4.34
Andhra Pradesh,Krishna,Maize,2017,5288,26789,5.07
Andhra Pradesh,Krishna,Maize,2018,4063,14261,3.51
Andhra Pradesh,Krishna,Maize,2019,3981,21028,5.28
Andhra Pradesh,Krishna,Maize,2020,4322,21182,4.9
Andhra Pradesh,Krishna,Maize,2021,4163,17360,4.17
Andhra Pradesh,Krishna,Maize,2022,73,305,4.18
Andhra Pradesh,Kurnool,Maize,2012,33000,162000,4.91
Andhra Pradesh,Kurnool,Maize,2013,38761,212333,5.48
Andhra Pradesh,Kurnool,Maize,2014,38554,138717,3.6
Andhra Pradesh,Kurnool,Maize,2015,18239,73284,4.02
Andhra Pradesh,Kurnool,Maize,2016,27874,149600,5.37
Andhra Pradesh,Kurnool,Maize,2017,39752,221657,5.58
Andhra Pradesh,Kurnool,Maize,2018,40845,185559,4.54
Andhra Pradesh,Kurnool,Maize,2019,30737,167271,5.44
Andhra Pradesh,Kurnool,Maize,2020,46849,181680,3.88
Andhra Pradesh,Kurnool,Maize,2021,59252,232268,3.92
Andhra Pradesh,Kurnool,Maize,2022,4230,19200,4.54
Andhra Pradesh,Nandyal,Maize,2022,49197,222469,4.52
Andhra Pradesh,Ntr,Maize,2022,2995,13460,4.49
Andhra Pradesh,Palnadu,Maize,2022,824,4894,5.94
Andhra Pradesh,Parvathipuram manyam,Maize,2022,6522,24777,3.8
